date,description,amount
2024-01-02,Direct deposit stipend,2200.00
2024-01-03,Rent apartment,-950.00
2024-01-04,Walmart grocery,-72.30
2024-01-05,Starbucks coffee,-6.50
2024-01-06,Uber trip,-14.20
2024-01-07,Netflix subscription,-15.99
2024-01-08,Chipotle dining,-12.80
2024-01-09,Shell gas station,-48.00
2024-01-10,Trader Joe groceries,-54.20
2024-01-11,Spotify subscription,-9.99
2024-01-12,Restaurant dining,-42.00
2024-01-14,Gym membership,-29.99
2024-01-15,Amazon Prime subscription,-14.99
2024-01-16,Doordash food delivery,-28.50
2024-01-17,Walmart grocery,-61.00
2024-01-18,Lyft transport,-11.40
2024-01-19,Cafe coffee,-8.25
2024-01-21,CVS pharmacy,-18.90
2024-01-22,Student loan payment,-150.00
2024-01-23,Transfer to savings,-200.00
2024-01-24,Restaurant dining,-38.00
2024-01-25,Uber trip,-9.80
2024-01-26,Costco grocery,-89.00
2024-01-28,Starbucks coffee,-5.75
2024-01-29,Netflix subscription,-15.99
2024-01-30,Parking metro,-12.00
2024-02-01,Direct deposit stipend,2200.00
2024-02-02,Rent apartment,-950.00
2024-02-03,Walmart grocery,-78.40
2024-02-04,Chipotle dining,-13.20
2024-02-05,Uber trip,-16.50
2024-02-06,Spotify subscription,-9.99
2024-02-07,Shell gas station,-52.00
2024-02-08,Trader Joe groceries,-58.30
2024-02-09,Restaurant dining,-55.00
2024-02-10,Netflix subscription,-15.99
2024-02-11,Gym membership,-29.99
2024-02-12,Starbucks coffee,-7.00
2024-02-13,Doordash food delivery,-31.20
2024-02-14,Walmart grocery,-65.00
2024-02-15,Amazon Prime subscription,-14.99
2024-02-16,Lyft transport,-13.80
2024-02-17,Cafe coffee,-9.50
2024-02-19,Student loan payment,-150.00
2024-02-20,Transfer to savings,-200.00
2024-02-21,CVS pharmacy,-22.40
2024-02-22,Restaurant dining,-48.00
2024-02-23,Uber trip,-11.20
2024-02-24,Costco grocery,-95.00
2024-02-25,Starbucks coffee,-6.25
2024-02-26,Coursera course,-49.00
2024-02-27,Parking metro,-15.00
2024-02-28,Netflix subscription,-15.99
2024-03-01,Direct deposit stipend,2200.00
2024-03-02,Rent apartment,-950.00
2024-03-03,Walmart grocery,-81.20
2024-03-04,Restaurant dining,-44.00
2024-03-05,Uber trip,-12.90
2024-03-06,Spotify subscription,-9.99
2024-03-07,Shell gas station,-45.00
2024-03-08,Trader Joe groceries,-52.00
2024-03-09,Starbucks coffee,-6.75
2024-03-10,Netflix subscription,-15.99
2024-03-11,Gym membership,-29.99
2024-03-12,Chipotle dining,-14.00
2024-03-13,Doordash food delivery,-26.80
2024-03-14,Walmart grocery,-70.00
2024-03-15,Amazon Prime subscription,-14.99
2024-03-16,Lyft transport,-10.50
2024-03-17,Cafe coffee,-8.00
2024-03-18,Restaurant dining,-51.00
2024-03-19,Uber trip,-15.40
2024-03-21,Student loan payment,-150.00
2024-03-22,Transfer to savings,-200.00
2024-03-23,CVS pharmacy,-19.50
2024-03-24,Costco grocery,-82.00
2024-03-25,Starbucks coffee,-5.50
2024-03-26,Parking metro,-12.00
2024-03-27,Netflix subscription,-15.99
2024-03-28,Restaurant dining,-39.00
2024-03-29,Walmart grocery,-58.00
2024-03-30,Trader Joe groceries,-47.00
2024-03-31,Refund textbook,-85.00
